reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
HCOMQT53WW001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-10-w1/black-alligator-leather-hcomqt53ww001,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 10,N/A,Limited edition: 10 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,53.3 x 39.1 mm,N/A,N/A,17.6 mm,N/A,N/A,N/A,3,N/A,skeletonized,N/A,18K white gold,N/A,18K white gold,manual,HW4702,N/A,N/A,N/A,"hours and minutes
power reserve",N/A,"Limited edition

                            10"
HCOMTT47RR002,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-9-r1/dark-blue-alligator-leather-stitching-in-18k-rose-gold-thread-hcomtt47rr002,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 9,N/A,Limited edition: 10 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,46.5 mm,N/A,N/A,20.8 mm,N/A,N/A,N/A,3,N/A,skeletonized,N/A,18K rose gold,N/A,18K rose gold,manual,HW4504,N/A,N/A,N/A,"retrograde jumping hours
retrograde minutes
power reserve indicator",N/A,"Limited edition

                            10"
HCOMTT47PP001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-9-p1/blue-alligator-leather-stitching-in-950-platinum-thread-hcomtt47pp001,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 9,N/A,Limited edition: unique piece,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,40.4 mm,N/A,N/A,10.60 mm,N/A,N/A,N/A,3,N/A,skeletonized,N/A,platinum,N/A,platinum,manual,HW4504,N/A,N/A,N/A,"retrograde jumping hours
retrograde minutes
power reserve indicator",N/A,"Limited edition

                            1"
EMEQHM18RR018,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r5/18k-rose-gold-emeqhm18rr018,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,green mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            144 brilliant-cut diamonds (approx. 0.65 carat)
3 brilliant-cut emeralds (approx. 0.003 carat)
1 emerald-cut emerald (approx. 0.02 carat)"
EMEQHM18WW014,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w4/turquoise-satin-emeqhm18ww014,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"turquoise mother-of-pearl
turquoise beaded mother-of-pearl
turquoise mother-of-pearl cabochons
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            84 brilliant-cut diamonds (approx. 0.58 carat)"
EMEQHM18RR009,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r3/red-satin-emeqhm18rr009,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)
3 brilliant-cut rubies (approx. 0.003 carat)
1 emerald-cut ruby (approx. 0.02 carat)"
EMEQHM18RR013,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r5/green-satin-emeqhm18rr013,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,green mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)
3 brilliant-cut emeralds (approx. 0.003 carat)
1 emerald-cut emerald (approx. 0.02 carat)"
EMEQHM18WW024,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w6/18k-white-gold-emeqhm18ww024,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"violet mother-of-pearl
violet beaded mother-of-pearl
violet mother-of-pearl cabochons
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            120 brilliant-cut diamonds (approx. 0.63 carat)"
HCOMDT51WW004,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-8-w2/black-alligator-leather-hcomdt51ww004,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 8,N/A,Limited edition: 10 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,50.9 mm,N/A,N/A,17.3 mm,N/A,N/A,N/A,3,N/A,"structured red treatment
selective rhodium plating
aluminium cones",N/A,18K white gold,N/A,18K white gold,manual,HW4503,N/A,N/A,N/A,"excentered hours and minutes
power reserve",N/A,"Limited edition

                            10"
HCOMQT53WW001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-10-w1/black-alligator-leather-hcomqt53ww001,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 10,N/A,Limited edition: 10 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,53.3 x 39.1 mm,N/A,N/A,17.6 mm,N/A,N/A,N/A,3,N/A,skeletonized,N/A,18K white gold,N/A,18K white gold,manual,HW4702,N/A,N/A,N/A,"hours and minutes
power reserve",N/A,"Limited edition

                            10"
