reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
HCOMDT51PP001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-7-p1/black-alligator-leather-hcomdt51pp001,,Harry Winston,,,Histoire de Tourbillon 7,,*Limited edition: 5 pieces,,,,,,,,,"open, sapphire crystal",50.9 mm,,,17.3 mm,,,,3,,"openworked
three-dimensional
metal
rhodium
blue anodized aluminium",,platinum,,platinum,manual,HW4502,,,,"excentered hours and minutes
power reserve",,"Limited edition

                            5"
HCOMQT53RR001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-10-r1/black-alligator-leather-hcomqt53rr001,,Harry Winston,,,Histoire de Tourbillon 10,,*Limited edition: 10 pieces,,,,,,,,,"open, sapphire crystal",53.3 x 39.1 mm,,,17.6 mm,,,,3,,skeletonized,,18K rose gold,,18K rose gold,manual,HW4702,,,,"hours and minutes
power reserve",,"Limited edition

                            10"
EMEQHM18WW033,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w9/pink-calfskin-leather-emeqhm18ww033,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.3 mm,,,,3,,"pink mother-of-pearl
pink beaded mother-of-pearl
pink mother-of-pearl cabochons
18K white gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            84 brilliant-cut diamonds (approx. 0.58 carat)"
HCOMQT53WW001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-10-w1/black-alligator-leather-hcomqt53ww001,,Harry Winston,,,Histoire de Tourbillon 10,,*Limited edition: 10 pieces,,,,,,,,,"open, sapphire crystal",53.3 x 39.1 mm,,,17.6 mm,,,,3,,skeletonized,,18K white gold,,18K white gold,manual,HW4702,,,,"hours and minutes
power reserve",,"Limited edition

                            10"
OPUMHM55WW001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/opus-14-w1/black-alligator-leather-opumhm55ww001,,Harry Winston,,,Opus 14,,*Limited edition: 50 pieces,,,,,,,,,"open, sapphire crystal",54.7 mm,,,21.9 mm,,,,3,,"sapphire crystal cut from a single block
sapphire
vinyl-style finishes
luminescent home time hours",,18K white gold,,18K white gold,manual,HW4601,,,,"home time by disc
retrograde minutes
animation power reserve by disc
movement power reserve by disc
calendar by disc (on demand)
GMT by disc (on demand)
HW aesthetic disc (on demand)",,"Limited edition

                            50"
EMEQHM18RR018,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r5/18k-rose-gold-emeqhm18rr018,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,green mother-of-pearl,,18K rose gold,,18K rose gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            144 brilliant-cut diamonds (approx. 0.65 carat)
3 brilliant-cut emeralds (approx. 0.003 carat)
1 emerald-cut emerald (approx. 0.02 carat)"
HCOMDT51WW004,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-8-w2/black-alligator-leather-hcomdt51ww004,,Harry Winston,,,Histoire de Tourbillon 8,,*Limited edition: 10 pieces,,,,,,,,,"open, sapphire crystal",50.9 mm,,,17.3 mm,,,,3,,"structured red treatment
selective rhodium plating
aluminium cones",,18K white gold,,18K white gold,manual,HW4503,,,,"excentered hours and minutes
power reserve",,"Limited edition

                            10"
EMEQHM18WW034,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w9/18k-white-gold-emeqhm18ww034,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.3 mm,,,,3,,"pink mother-of-pearl
pink beaded mother-of-pearl
pink mother-of-pearl cabochons
18K white gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            120 brilliant-cut diamonds (approx. 0.62 carat)"
EMEQHM18RR013,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r5/green-satin-emeqhm18rr013,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,green mother-of-pearl,,18K rose gold,,18K rose gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)
3 brilliant-cut emeralds (approx. 0.003 carat)
1 emerald-cut emerald (approx. 0.02 carat)"
HCOMDT51WW001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-7-w1/black-alligator-leather-hcomdt51ww001,,Harry Winston,,,Histoire de Tourbillon 7,,*Limited edition: 10 pieces,,,,,,,,,"open, sapphire crystal",50.9 mm,,,17.3 mm,,,,3,,"openworked
three-dimensional
metal
rhodium
gray anodized aluminium",,18K white gold,,18K white gold,manual,HW4502,,,,"excentered hours and minutes
power reserve",,"Limited edition

                            10"
HCOMTT55WW001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-6-w1/black-alligator-leather-hcomtt55ww001,,Harry Winston,,,Histoire de Tourbillon 6,,*Limited edition: 20 pieces,,,,,,,,,"open, sapphire crystal",55 x 49 mm,,,17.6 mm,,,,3,,"polished rhodium
openworked chronograph in untreated Avional
luminescent power reserve and hours and minutes counters",,18K white gold,,18K white gold,manual,HW4701,,,,"excentered hours and minutes
power reserve counter for hours and minutes
excentered seconds on tri-axial tourbillon carriage
Karussel time display counter with zero-reset function
power reserve counter for Karussel",,"Limited edition

                            20"
EMEQHM18WW007,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w2/pink-satin-emeqhm18ww007,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,white mother-of-pearl,,18K white gold,,18K white gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)3 brilliant-cut pink sapphires (approx. 0.006 carat)1 emerald-cut pink sapphire (approx. 0.02 carat)"
EMEQHM18RR014,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r4/green-satin-emeqhm18rr014,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,white mother-of-pearl,,18K rose gold,,18K rose gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)
3 brilliant-cut emeralds (approx. 0.003 carat)
1 emerald-cut emerald (approx. 0.02 carat)"
EMEQHM18RR005,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r2/18k-rose-gold-emeqhm18rr005,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,white mother-of-pearl,,18K rose gold,,18K rose gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            144 brilliant-cut diamonds (approx. 0.65 carat)3 brilliant-cut blue aquamarines (approx. 0.006 carat)1 emerald-cut blue aquamarine (approx. 0.02 carat)"
EMEQHM18RR011,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r3/18k-rose-gold-emeqhm18rr011,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,white mother-of-pearl,,18K rose gold,,18K rose gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            144 brilliant-cut diamonds (approx. 0.65 carat)
3 brilliant-cut rubies (approx. 0.003 carat)
1 emerald-cut ruby (approx. 0.02 carat)"
EMEQHM18WW024,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w6/18k-white-gold-emeqhm18ww024,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,"violet mother-of-pearl
violet beaded mother-of-pearl
violet mother-of-pearl cabochons
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            120 brilliant-cut diamonds (approx. 0.63 carat)"
EMEQHM18RR006,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r2/light-blue-satin-emeqhm18rr006,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,white mother-of-pearl,,18K rose gold,,18K rose gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)3 brilliant-cut blue aquamarines (approx. 0.006 carat)1 emerald-cut blue aquamarine (approx. 0.02 carat)"
EMEQHM18WW016,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w6/violet-satin-emeqhm18ww016,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,"violet mother-of-pearl
violet beaded mother-of-pearl
violet mother-of-pearl cabochons
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            84 brilliant-cut diamonds (approx. 0.58 carat)"
HCOMDT51WW003,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-8-w1/black-alligator-leather-hcomdt51ww003,,Harry Winston,,,Histoire de Tourbillon 8,,*Limited edition: 10 pieces,,,,,,,,,"open, sapphire crystal",50.9 mm,,,17.3 mm,,,,3,,"structured black treatment
selective rhodium plating
aluminium cones",,18K white gold,,18K white gold,manual,HW4503,,,,"excentered hours and minutes
power reserve",,"Limited edition

                            10"
EMEQHM18RR015,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r4/18k-rose-gold-emeqhm18rr015,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,white mother-of-pearl,,18K rose gold,,18K rose gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            144 brilliant-cut diamonds (approx. 0.65 carat)
3 brilliant-cut emeralds (approx. 0.003 carat)
1 emerald-cut emerald (approx. 0.02 carat)"
HCOMTT47PP001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-9-p1/blue-alligator-leather-stitching-in-950-platinum-thread-hcomtt47pp001,,Harry Winston,,,Histoire de Tourbillon 9,,*Limited edition: unique piece,,,,,,,,,"open, sapphire crystal",40.4 mm,,,10.60 mm,,,,3,,skeletonized,,platinum,,platinum,manual,HW4504,,,,"retrograde jumping hours
retrograde minutes
power reserve indicator",,"Limited edition

                            1"
EMEQHM18RR009,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r3/red-satin-emeqhm18rr009,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,white mother-of-pearl,,18K rose gold,,18K rose gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)
3 brilliant-cut rubies (approx. 0.003 carat)
1 emerald-cut ruby (approx. 0.02 carat)"
HCOMDT51WW002,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-7-w2/black-alligator-leather-hcomdt51ww002,,Harry Winston,,,Histoire de Tourbillon 7,,*Limited edition: 10 pieces,,,,,,,,,"open, sapphire crystal",50.9 mm,,,17.3 mm,,,,3,,"openworked
three-dimensional
metal
rhodium
red anodized aluminium",,18K white gold,,18K white gold,manual,HW4502,,,,"excentered hours and minutes
power reserve",,"Limited edition

                            10"
EMEQHM18WW018,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w4/18k-white-gold-emeqhm18ww018,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,"turquoise mother-of-pearl
turquoise beaded mother-of-pearl
turquoise mother-of-pearl cabochons
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            120 brilliant-cut diamonds (approx. 0.63 carat)"
EMEQHM18RR006,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r2/light-blue-satin-emeqhm18rr006,,Harry Winston,,,Harry Winston Emerald,,,,,,,,,,,closed,17.7 x 24 mm,,,6.1 mm,,,,3,,white mother-of-pearl,,18K rose gold,,18K rose gold,quartz,HW1040,,,,hours and minutes,,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)3 brilliant-cut blue aquamarines (approx. 0.006 carat)1 emerald-cut blue aquamarine (approx. 0.02 carat)"
